study,subject_nr,alpha.rew,alpha.pun,beta.rew,beta.pun
disc,900412560,-2.6814867898175407,1.7703732253654167,1.0611192920040864,-1.7918044432437183
disc,412848644,1.2119061825890898,4.290597958052693,1.368982574032006,-2.20017885915152
disc,35533370,0.7040193520218347,2.7393160200265845,-0.1256535127227017,-2.377927362268776
disc,841434968,-4.6745483475895915,-0.4488875564912592,1.3958441716891137,-0.6405111139988422
disc,879661171,1.2950833134264794,2.8793305978683397,1.082923820712869,-1.3847775282141923
disc,647607965,-0.4453276708492418,2.8321034489353676,1.3307049388556496,-1.7098271714559345
disc,727935120,1.6323281775287601,2.980001898206086,0.42281298911797605,-1.8624349665962032
disc,766429487,-2.3293727915513607,-0.7636325753514159,0.523081448350463,-0.7486630885536807
disc,925442248,1.5515718103866534,3.7795999794849764,0.2710716099135618,-2.5486048053411445
disc,903575782,-0.8741477919471183,-0.9463763627377632,2.1991805844885133,0.6023022243529194
disc,213904998,1.7531597322382222,4.227570362856481,1.3978693365215829,-1.9622123631517512
disc,657305126,-3.8172634732025794,2.353286923919149,2.088914004868121,-1.8569321734963964
disc,339096314,-4.514162517164846,-4.425811351324835,1.3266744703642703,1.9040682048980446
disc,976167842,1.1347876729328956,2.889201111980018,1.3971618727997386,-1.209847991642866
disc,418056557,1.4866990310006059,2.500529929073187,-0.7813902444864705,-2.456271720579657
disc,431141738,1.6836121184936133,2.2819743954554466,-0.5462233431904697,-2.0601671940500923
disc,257676264,0.2596329926555714,0.7163411427775667,0.014595350870359796,-0.32599882808263286
disc,802550607,2.4512159626919576,5.258112597765881,1.5919419576001062,-2.3454588184166663
disc,424805508,1.030600068571206,3.9316022657558567,0.7083278543614653,-2.501917543886493
disc,588578823,0.9548671473759359,1.6086945202969691,0.7235473572415224,-0.5154356881135719
disc,921966331,1.447762310196156,3.576917360379781,-0.08130021184963133,-2.7104515173953554
disc,127817837,-1.01081397110575,0.0632633560533175,0.41114451455181455,0.24931695317021726
disc,724046951,-0.7617717032692707,-1.0976912762091422,1.3825114957368263,0.9035211623663796
disc,596706496,0.846421312332069,2.2622940565128347,1.3317945905495756,-0.4181604200252121
disc,823938301,-4.4092916493177885,0.22754541130450184,0.9421780938896859,-1.4662602813000498
disc,627530822,1.7349058724239474,4.405181312629141,0.5379143386103101,-2.739945901346385
disc,948450426,1.630345009790801,-1.8052893624131672,0.3931109591926729,0.3122300524576593
disc,60673838,-1.6838846781582408,3.1548361582582976,2.5970217964310933,-1.3855990804766074
disc,270801539,0.583155218421176,4.474534441596621,1.70596501130789,-2.275752847826045
disc,399617660,1.1950827178252277,2.888376973663742,0.8080370443777186,-1.6775867487340121
disc,703111911,0.7091869628061186,2.3835770305670647,1.7911642902978977,-0.38875211231457757
